"","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Emisja CO2","Typ","Liczba drzwi","Liczba miejsc","Kolor","VAT mar¿a","Kraj pochodzenia","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Bezwypadkowy","Serwisowany w ASO","Stan","Rodzaj koloru","Mo¿liwoœæ finansowania","Faktura VAT","Leasing","Pierwszy w³aœciciel","Filtr cz¹stek sta³ych","Gwarancja dealerska (w cenie)","Uszkodzony","Miesiêczna rata","Tuning","lub do (przebieg km)","Generacja","Okres gwarancji producenta","Op³ata pocz¹tkowa","Liczba pozosta³ych rat","Wartoœæ wykupu","Kod Silnika","Akryl (niemetalizowany)","Zarejestrowany jako zabytek","Homologacja ciê¿arowa","Kierownica po prawej (Anglik)"
"1:11","227 000","Firmy","Osobowe","Alfa Romeo","Stelvio","2.0 Turbo Veloce Q4","2021","5 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)","158 g/km","SUV","5","5","Czarny",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak","Tak",NA,NA,"60 miesiêcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:12","136 799","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2018","20 482 km","1 995 cm3","Benzyna","200 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Czerwony",NA,"Polska","06/03/2019","WE049UR","Tak",NA,"Tak","U¿ywane","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:13","42 900","Firmy","Osobowe","Alfa Romeo","Giulietta","1.4 TB MultiAir Sport TCT","2013","115 600 km","1 368 cm3","Benzyna","170 KM","Automatyczna","Na przednie ko³a","114 g/km","Kompakt","5","5","Bia³y","Tak",NA,NA,NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,"Tak",NA,"6 miesiêcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:14","13 500","Osoby prywatnej","Osobowe","Alfa Romeo","159",NA,"2006","223 000 km","1 910 cm3","Diesel","150 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny",NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:15","9 500","Firmy","Osobowe","Alfa Romeo","Mito","1.3 JTDM","2011","133 000 km","1 248 cm3","Diesel","95 KM","Manualna","Na przednie ko³a","112 g/km","Auta ma³e","3","4","Czarny","Tak",NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:16","246 900","Firmy","Osobowe","Alfa Romeo","Stelvio","2.0 Turbo Veloce TI Q4","2021","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (sta³y)","158 g/km","SUV","5","5","Czerwony",NA,NA,NA,NA,NA,"Tak",NA,"Nowe",NA,"Tak","Tak","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:17","152 799","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2018","29 844 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Szary",NA,"Polska","14/03/2019","WE025VS","Tak",NA,"Tak","U¿ywane","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:18","169 900","Firmy","Osobowe","Alfa Romeo","Stelvio","2.0 Turbo Business Q4","2020","1 km","1 995 cm3","Benzyna","200 KM","Automatyczna","4x4 (sta³y)","160 g/km","SUV","5","5","Czerwony",NA,NA,NA,NA,NA,"Tak",NA,"Nowe",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:19","29 900","Firmy","Osobowe","Alfa Romeo","Giulietta",NA,"2015","214 600 km","1 368 cm3","Benzyna+LPG","120 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5",NA,"Czarny","Tak","Dania",NA,NA,"Tak","Tak","Tak","U¿ywane","Per³owy","Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:20","27 900","Firmy","Osobowe","Alfa Romeo","Giulietta","1.4 TB Progression","2010","170 000 km","1 368 cm3","Benzyna","120 KM","Manualna","Na przednie ko³a","149 g/km","Kompakt","5","5","Bia³y","Tak",NA,NA,NA,NA,"Tak","Tak","U¿ywane","Per³owy",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:21","27 900","Firmy","Osobowe","Alfa Romeo","Giulietta","2.0 JTDM Progression TCT","2012","209 000 km","1 956 cm3","Diesel","170 KM","Automatyczna","Na przednie ko³a","119 g/km","Kompakt","5","5","Szary","Tak",NA,NA,NA,NA,NA,"Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:22","25 900","Osoby prywatnej","Osobowe","Alfa Romeo","Giulietta",NA,"2013","190 000 km","1 368 cm3","Benzyna","120 KM","Manualna",NA,NA,"Kompakt","5","5","Czarny","Tak",NA,"22/06/2013","WOR989",NA,NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:23","37 500","Osoby prywatnej","Osobowe","Alfa Romeo","Giulietta","1.4 TB MultiAir Progression TCT","2013","89 000 km","1 368 cm3","Benzyna","170 KM","Automatyczna","Na przednie ko³a","121 g/km","Kompakt","5","5","Szary",NA,"Szwajcaria","27/11/2013","WW750YF","Tak",NA,"Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:24","41 900","Firmy","Osobowe","Alfa Romeo","Giulietta","1.4 TB MultiAir Distinctive TCT","2012","147 950 km","1 368 cm3","Benzyna","170 KM","Automatyczna","Na przednie ko³a","121 g/km","Kompakt","5","5","Bia³y","Tak","Polska","15/02/2013",NA,"Tak","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:25","18 900","Osoby prywatnej","Osobowe","Alfa Romeo","159",NA,"2007","186 987 km","2 000 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Czarny","Tak","Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:26","148 900","Firmy","Osobowe","Alfa Romeo","Giulia",NA,"2021","1 km","1 995 cm3","Benzyna","200 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","4","5","Bia³y",NA,"Polska",NA,NA,NA,"Tak","Tak","Nowe",NA,"Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:27","14 000","Osoby prywatnej","Osobowe","Alfa Romeo","159","2.4JTDM Distinctive","2005","238 000 km","2 387 cm3","Diesel","200 KM","Manualna","Na przednie ko³a",NA,"Kombi","4",NA,"Bordowy",NA,NA,NA,NA,"Tak","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:28","9 900","Firmy","Osobowe","Alfa Romeo","159",NA,"2007","244 000 km","1 910 cm3","Diesel","149 KM","Manualna","Na przednie ko³a","159 g/km","Kombi","4","5","Inny kolor","Tak",NA,"16/05/2007","FZG34599","Tak","Tak",NA,"U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:29","18 900","Osoby prywatnej","Osobowe","Alfa Romeo","159","2.4JTDM Distinctive","2007","138 000 km","2 387 cm3","Diesel","200 KM","Automatyczna","Na przednie ko³a",NA,"Kombi","4","5","Czarny",NA,NA,"20/12/2007",NA,"Tak","Tak",NA,"U¿ywane","Metalik","Tak",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:30","3 900","Osoby prywatnej","Osobowe","Alfa Romeo","147","1.6 T.S 16V","2006","165 000 km","1 598 cm3","Benzyna","105 KM","Manualna","Na przednie ko³a","196 g/km","Kompakt","5","5","Szary","Tak",NA,"01/05/2006",NA,NA,NA,"Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:31","17 000","Osoby prywatnej","Osobowe","Alfa Romeo","159","1.8MPI Impression","2008","262 000 km","1 796 cm3","Benzyna+LPG","140 KM","Manualna","Na przednie ko³a","181 g/km","Sedan","4","5","Czarny",NA,NA,"30/07/2008","DZA3Y29",NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:32","11 400","Osoby prywatnej","Osobowe","Alfa Romeo","159","1.9JTDM Progression","2007","210 224 km","1 910 cm3","Diesel","120 KM","Manualna","Na przednie ko³a","157 g/km","Kombi","4","5","Czarny",NA,"Belgia","09/09/2007","WPN","Tak","Tak",NA,"U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:33","15 500","Osoby prywatnej","Osobowe","Alfa Romeo","GT","1.9JTD 16V Distinctive","2007","319 000 km","1 910 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","165 g/km","Coupe","2","5","Srebrny",NA,NA,NA,NA,"Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:34","227 900","Firmy","Osobowe","Alfa Romeo","Giulia","2.0 Turbo Veloce Q4","2021","5 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (sta³y)","156 g/km","Sedan","4","5","Niebieski",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:35","22 900","Firmy","Osobowe","Alfa Romeo","Giulietta","1.6 JTDM 16V","2012","263 000 km","1 598 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","104 g/km","Kompakt","5","5","Czarny","Tak","Holandia",NA,"CSW05642","Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:36","159 800","Firmy","Osobowe","Alfa Romeo","Stelvio","2.0 Turbo Executive Q4","2018","24 000 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Br¹zowy",NA,"Polska",NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:37","2 999","Osoby prywatnej","Osobowe","Alfa Romeo","156","2.0 TSpark 16v","2000","240 000 km","1 970 cm3","Benzyna+LPG","155 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Inny kolor",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:38","26 800","Osoby prywatnej","Osobowe","Alfa Romeo","Giulietta",NA,"2011","163 000 km","2 000 cm3","Diesel","140 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5",NA,"Czarny",NA,NA,"22/09/2011","Wr 6466S","Tak","Tak",NA,"U¿ywane","Metalik",NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:39","102 001","Firmy","Osobowe","Alfa Romeo","Giulia",NA,"2016","58 050 km","1 995 cm3","Benzyna","200 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","5","4","Czarny",NA,"Polska","20/09/2017",NA,"Tak","Tak","Tak","U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,"607 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:40","152 800","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2019","27 000 km","1 995 cm3","Benzyna","201 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Czarny",NA,"Polska",NA,NA,"Tak","Tak","Tak","U¿ywane",NA,"Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:41","29 999","Osoby prywatnej","Osobowe","Alfa Romeo","Giulietta","1.4 TB MultiAir Distinctive","2012","182 500 km","1 368 cm3","Benzyna","170 KM","Manualna","Na przednie ko³a","134 g/km","Kompakt","5","5","Br¹zowy","Tak","Niemcy","05/02/2012",NA,"Tak","Tak",NA,"U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:42","17 900","Osoby prywatnej","Osobowe","Alfa Romeo","159",NA,"2008","191 000 km","1 910 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","159 g/km","Kombi","4","5","Bia³y","Tak","W³ochy",NA,NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:43","168 900","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2021","1 km","1 995 cm3","Benzyna","200 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Bia³y",NA,NA,NA,NA,NA,"Tak",NA,"Nowe",NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:44","23 999","Osoby prywatnej","Osobowe","Alfa Romeo","Brera","2.2JTS Sky View","2006","211 000 km","2 198 cm3","Benzyna","185 KM","Manualna","Na przednie ko³a",NA,"Coupe","3","4","Niebieski",NA,NA,"31/01/2007","ZSW 25465","Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:45","149 900","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2019","5 km","1 995 cm3","Benzyna","200 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV",NA,NA,"Czarny",NA,NA,NA,NA,NA,"Tak",NA,"U¿ywane","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:46","27 000","Firmy","Osobowe","Alfa Romeo","Giulietta","2.0 JTDM Progression","2012","117 000 km","1 956 cm3","Diesel","170 KM","Manualna","Na przednie ko³a","124 g/km","Kompakt","5","5","Czarny","Tak",NA,"14/06/2012","BP-589-XD",NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:47","155 900","Firmy","Osobowe","Alfa Romeo","Giulia",NA,"2019","6 500 km","2 000 cm3","Benzyna","200 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Szary",NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:48","216 900","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2021","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Szary",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:49","209 900","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2021","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Czerwony",NA,"Polska",NA,NA,NA,"Tak",NA,"Nowe",NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:50","214 900","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2021","1 km","1 998 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Bia³y",NA,NA,NA,NA,NA,"Tak",NA,"Nowe",NA,"Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:51","36 150","Osoby prywatnej","Osobowe","Alfa Romeo","Giulietta",NA,"2013","143 000 km","1 956 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","110 g/km","Kompakt","5","5","Srebrny","Tak","Niemcy",NA,"WPI9851E","Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:52","248 900","Firmy","Osobowe","Alfa Romeo","Stelvio","2.0 Turbo Veloce Q4","2021","1 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (sta³y)","158 g/km","SUV","5","5","Czarny",NA,NA,NA,NA,NA,"Tak",NA,"Nowe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:53","18 900","Osoby prywatnej","Osobowe","Alfa Romeo","159",NA,"2009","198 000 km","1 910 cm3","Diesel","120 KM","Manualna","Na przednie ko³a","157 g/km","Kombi","4","5","Czarny",NA,NA,NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:54","14 500","Osoby prywatnej","Osobowe","Alfa Romeo","147",NA,"2008","176 400 km","1 910 cm3","Diesel","150 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Czarny",NA,"Szwajcaria",NA,NA,"Tak","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:55","20 000","Osoby prywatnej","Osobowe","Alfa Romeo","Mito","1.3 JTDM","2013","51 300 km","1 248 cm3","Diesel","95 KM","Manualna",NA,NA,"Coupe","3","5","Czerwony",NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:56","9 500","Osoby prywatnej","Osobowe","Alfa Romeo","146",NA,"1998","230 000 km","1 600 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a",NA,"Kompakt",NA,NA,"Czerwony",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:57","31 500","Firmy","Osobowe","Alfa Romeo","Giulietta",NA,"2012","120 169 km","1 956 cm3","Diesel","140 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Szary","Tak",NA,NA,NA,NA,"Tak",NA,"U¿ywane",NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:58","219 900","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2021","5 km","1 998 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Zielony",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:59","219 900","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2021","5 km","1 998 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Niebieski",NA,"Polska",NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:60","209 900","Firmy","Osobowe","Alfa Romeo","Stelvio",NA,"2021","5 km","1 995 cm3","Benzyna","280 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Niebieski",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:61","133 879","Firmy","Osobowe","Alfa Romeo","Giulia","2.0 Turbo","2021","1 km","1 995 cm3","Benzyna","200 KM","Automatyczna","Na tylne ko³a","142 g/km","Sedan","4","5","Czerwony",NA,NA,NA,NA,NA,"Tak",NA,"Nowe",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:62","157 866","Firmy","Osobowe","Alfa Romeo","Stelvio","2.0 Turbo Q4","2021","1 km","1 995 cm3","Benzyna","200 KM","Automatyczna","4x4 (sta³y)","160 g/km","SUV","5","5","Czerwony",NA,NA,NA,NA,NA,"Tak",NA,"Nowe",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
